强措 jiang'cuo
孔车 kong'che
侯伯 hou'bo
抗得 kang'de
范沟 fan'gou
易饱 yi'bao
笔休 bi'xiu
下殷 xia'yin
邮徽 you'hui
么能 yao'neng
碘水 dian'shui
津成 jin'cheng
数尾 shu'yi
又听 you'ting
远发 yuan'fa
木屯 mu'zhun
叠了 die'liao
汤鲤 tang'li
那其 nei'ji
恒义 heng'yi
孙店 sun'dian
残数 can'shuo
邓边 deng'bian
曼瑜 man'yu
这时 zhe'shi
神东 shen'dong
许话 hu'hua
银枪 yin'qiang
恶战 e'zhan
马戏 ma'xi
顾甲 gu'jia
云冲 yun'chong
冲北 chong'bei
压轧 ya'zha
尾雄 wei'xiong
牛钱 niu'qian
刺龙 ci'long
女肾 ru'shen
良吾 liang'wu
李改 li'gai
杨亨 yang'heng
柳河 liu'he
闵吴 min'wu
殷尚 yan'shang
吹食 chui'yi
许卖 hu'mai
黑推 hei'tui
艾顿 yi'dun
觉么 jue'yao
且强 ju'qiang
头蚁 tou'yi
长杰 chang'jie
千宝 qian'bao
马暴 ma'pu
乔那 qiao'na
海屯 hai'zhun
花罗 hua'luo
古钢 gu'gang
皮总 pi'zong
贴分 tie'fen
露玛 lu'ma
教保 jiao'bao
气泻 qi'xie
款段 kuan'duan
胡女 hu'nv
李充 li'chong
木啦 mu'la
杨鸾 yang'luan
祁填 qi'zhen
楼栋 lou'dong
题奏 ti'zou
学拉 xue'la
洪贡 hong'gong
么忙 me'mang
慈怡 ci'yi
达洋 da'yang
槽船 cao'chuan
飞库 fei'ku
卡数 ka'shu
蒂腐 di'fu
八闽 ba'min
杨铨 yang'quan
邱蔚 qiu'yu
果洒 guo'sa
指套 zhi'tao
金蝇 jin'ying
岭排 ling'pai
食度 shi'du
诺代 nuo'dai
磨阳 mo'yang
东境 dong'jing
棒冲 bang'chong
娅娘 ya'niang
崔府 cui'fu
肖场 xiao'chang
懂坐 dong'zuo
各扎 ge'za
卫滨 wei'bin
折梅 zhe'mei
断码 duan'ma
忠色 zhong'se
铁夹 tie'jia
石转 dan'zhuai
合富 ge'fu
忠狗 zhong'gou
亮逸 liang'yi
正盛 zheng'sheng
兰幕 lan'mu
叶威 ye'wei
勒丁 le'ding
配糖 pei'tang
浪湖 lang'hu
搭简 da'jian
板形 ban'xing
辄筋 zhe'jin
调为 tiao'wei
半水 ban'shui
何衡 he'heng
配盖 pei'ge
太心 tai'xin
玉朴 yu'po
干免 gan'mian
亏缺 kui'que
焊粉 han'fen
冰核 bing'he
阿琼 a'qiong
祝典 zhu'dian
脱缝 tuo'feng
伯撒 bo'sa
石洲 dan'zhou
莎其 suo'ji
几首 ji'shou
张黎 zhang'li
的你 de'ni
停宁 ting'ning
胜己 sheng'ji
石齐 dan'qi
俄屯 e'tun
吊伞 diao'san
叶荡 ye'dang
